DNA Report on Q:\Illumina Project Data\CTL_BOVGGPV03_20150406\CTL_BOVGGPV03_20150406\CTL_BOVGGPV03_20150406_DNAReport.csv
,# LOCI = 26151,# DNAs = 2,ProjectName = CTL_BOVGGPV03_20150406_DNAReport,GenCall Version = 6.3.0,Low GenCall Score Cutoff = 0.1500
Row,DNA_ID,#No_Calls,#Calls,Call_Rate,A/A_Freq,A/B_Freq,B/B_Freq,Minor_Freq,50%_GC_Score,10%_GC_Score,0/1
1,HONEY T,276,25875,0.9894,0.3353,0.3104,0.3543,0.4905,0.8533,0.5002,1
2,CHEROKEE WHITE FEATHER,176,25975,0.9933,0.3434,0.2923,0.3642,0.4896,0.8561,0.5061,1
